time_s,pc_Pa
0.500419767,853845.238755775
0.500419991,854672.393138463
0.500420215,855500.286760335
0.500420440,856328.920103271
0.500420665,857158.293649625
0.500420890,857988.407880168
0.500421115,858819.263277512
0.500421340,859650.860321993
0.500421566,860483.199495103
0.500421792,861316.281277427
0.500422018,862150.106149325
0.500422245,862984.674591619
0.500422472,863819.987084220
0.500422699,864656.044106811
0.500422926,865492.846138842
0.500423153,866330.393660214
0.500423381,867168.687149913
0.500423609,868007.727087369
0.500423837,868847.513950411
0.500424066,869688.048217989
0.500424295,870529.330368808
0.500424524,871371.360879972
0.500424753,872214.140229697
0.500424982,873057.668895268
0.500425212,873901.947354399
0.500425442,874746.976083202
0.500425672,875592.755558879
0.500425903,876439.286258376
0.500426134,877286.568657037
0.500426365,878134.603231287
0.500426596,878983.390457288
0.500426827,879832.930809598
0.500427059,880683.224763842
0.500427291,881534.272794711
0.500427523,882386.075377293
0.500427756,883238.632985062
0.500427989,884091.946092557
0.500428222,884946.015174037
0.500428455,885800.840702146
0.500428688,886656.423150581
0.500428922,887512.762992088
0.500429156,888369.860699790
0.500429390,889227.716745860
0.500429625,890086.331602178
0.500429860,890945.705740333
0.500430095,891805.839632281
0.500430330,892666.733749018
0.500430566,893528.388561241
0.500430801,894390.804540006
0.500431038,895253.982155406
0.500431274,896117.921877227
0.500431510,896982.624174951
0.500431747,897848.089518402
0.500431984,898714.318376437
0.500432222,899581.311218251
0.500432459,900449.068511418
0.500432697,901317.590724497
0.500432935,902186.878325723
0.500433174,903056.931781711
0.500433413,903927.751560043
0.500433651,904799.338127330
0.500433891,905671.691950496
0.500434130,906544.813495486
0.500434370,907418.703227912
0.500434610,908293.361613010
0.500434850,909168.789116396
0.500435091,910044.986202663
0.500435331,910921.953336061
0.500435572,911799.690981130
0.500435814,912678.199601428
0.500436055,913557.479660154
0.500436297,914437.531620796
0.500436539,915318.355945848
0.500436781,916199.953097446
0.500437024,917082.323537367
0.500437267,917965.467727656
0.500437510,918849.386129361
0.500437753,919734.079203163
0.500437997,920619.547410003
0.500438241,921505.791209821
0.500438485,922392.811062180
0.500438730,923280.607426894
0.500438974,924169.180762771
0.500439219,925058.531528236
0.500439465,925948.660181335
0.500439710,926839.567180343
0.500439956,927731.252982527
0.500440202,928623.718044764
0.500440449,929516.962824153
0.500440695,930410.987776779
0.500440942,931305.793358328
0.500441189,932201.380024698
0.500441437,933097.748230773
0.500441684,933994.898431028
0.500441932,934892.831080138
0.500442181,935791.546631758
0.500442429,936691.045539131
0.500442678,937591.328255082
0.500442927,938492.395232623
0.500443176,939394.246923742
0.500443426,940296.883779999
0.500443676,941200.306253133
0.500443926,942104.514793849
0.500444176,943009.509852425
0.500444427,943915.291879298
0.500444678,944821.861323873
0.500444929,945729.218635116
0.500445181,946637.364261553
0.500445432,947546.298651857
0.500445685,948456.022253663
0.500445937,949366.535514742
0.500446190,950277.838881826
0.500446442,951189.932801193
0.500446696,952102.817718664
0.500446949,953016.494080183
0.500447203,953930.962330648
0.500447457,954846.222914493
0.500447711,955762.276276263
0.500447966,956679.122858875
0.500448220,957596.763106506
0.500448476,958515.197461125
0.500448731,959434.426365377
0.500448987,960354.450260846
0.500449243,961275.269589207
0.500449499,962196.884790508
0.500449755,963119.296305444
0.500450012,964042.504574219
0.500450269,964966.510035407
0.500450527,965891.313128219
0.500450784,966816.914291359
0.500451042,967743.313961906
0.500451301,968670.512577556
0.500451559,969598.510574938
0.500451818,970527.308390725
0.500452077,971456.906460515
0.500452336,972387.305219396
0.500452596,973318.505102486
0.500452856,974250.506543280
0.500453116,975183.309975848
0.500453376,976116.915833725
0.500453637,977051.324549373
0.500453898,977986.536554720
0.500454160,978922.552281158
0.500454421,979859.372160078
0.500454683,980796.996621794
0.500454945,981735.426096070
0.500455208,982674.661012126
0.500455471,983614.701799167
0.500455734,984555.548885304
0.500455997,985497.202698630
0.500456261,986439.663666139
0.500456525,987382.932214272
0.500456789,988327.008768902
0.500457053,989271.893755857
0.500457318,990217.587599873
0.500457583,991164.090725627
0.500457849,992111.403556188
0.500458114,993059.526515077
0.500458380,994008.460025228
0.500458647,994958.204507967
0.500458913,995908.760385055
0.500459180,996860.128077657
0.500459447,997812.308005327
0.500459715,998765.300588039
0.500459982,999719.106244658
0.500460250,1000673.725393946
0.500460519,1001629.158453556
0.500460787,1002585.405840539
0.500461056,1003542.467971329
0.500461326,1004500.345262237
0.500461595,1005459.038128467
0.500461865,1006418.546985084
0.500462135,1007378.872245556
0.500462405,1008340.014323699
0.500462676,1009301.973632691
0.500462947,1010264.750584112
0.500463218,1011228.345589870
0.500463490,1012192.759061228
0.500463762,1013157.991407853
0.500464034,1014124.043039715
0.500464306,1015090.914366134
0.500464579,1016058.605794834
0.500464852,1017027.117733824
0.500465126,1017996.450589985
0.500465399,1018966.604769998
0.500465673,1019937.580678960
0.500465948,1020909.378722672
0.500466222,1021881.999304896
0.500466497,1022855.442829623
0.500466772,1023829.709699719
0.500467048,1024804.800317366
0.500467324,1025780.715084511
0.500467600,1026757.454401963
0.500467876,1027735.018669845
0.500468153,1028713.408288023
0.500468430,1029692.623655229
0.500468707,1030672.665169491
0.500468985,1031653.533228568
0.500469263,1032635.228229081
0.500469541,1033617.750566936
0.500469819,1034601.100637759
0.500470098,1035585.278836026
0.500470377,1036570.285555500
0.500470657,1037556.121189217
0.500470937,1038542.786129906
0.500471217,1039530.280769146
0.500471497,1040518.605498196
0.500471778,1041507.760707166
0.500472059,1042497.746785425
0.500472340,1043488.564121602
0.500472622,1044480.213103982
