time_s,Tc_K
1.510513730,1861.394983340
1.511619567,1860.829405025
1.539585469,1860.856153742
1.543333653,1862.213449729
1.544878218,1861.078758295
1.548087295,1861.891622197
1.549547962,1861.300498851
1.555251497,1862.035151409
1.556419603,1861.531727558
1.608750880,1862.843936941
1.609747155,1862.472766166
1.615119982,1862.294311698
1.617092269,1862.696225338
1.619758676,1862.370014042
1.622264088,1862.873081306
1.624220698,1862.480064696
1.627682288,1863.059934331
1.629211923,1862.625383297
1.635398552,1863.320332850
1.636566939,1862.855904812
1.671173386,1863.479641899
1.683480786,1863.166204375
1.685506810,1863.986108539
1.687661271,1863.442834766
1.690467114,1864.100392971
1.692181720,1863.618536545
1.696483267,1864.263239496
1.697849422,1863.805015501
1.709736956,1864.655166875
1.710675356,1864.203932247
1.714738567,1863.852848316
1.716768646,1864.395187940
1.719255439,1863.991233299
1.721910226,1864.557088890
1.723785095,1864.131847325
1.727624329,1864.737079693
1.729097081,1864.297953895
1.737147881,1865.037362359
1.738232879,1864.585278819
1.747303639,1864.384771018
1.749322977,1864.934151039
1.751860471,1864.528537750
1.754504058,1865.096595201
1.756406274,1864.671505999
1.760223606,1865.275867911
1.761714412,1864.838518991
1.769632610,1865.570853204
1.770732266,1865.122327994
1.780333242,1864.940663218
1.782404750,1865.489745673
1.784894140,1865.085246024
1.787625056,1865.653056460
1.789498685,1865.230434626
1.793517236,1865.837168812
1.794982402,1865.402993834
1.804132791,1866.169180264
1.805184756,1865.723832145
1.811836051,1865.453112090
1.813808617,1865.994625206
1.816519284,1865.601349830
1.819098077,1866.159998762
1.821089239,1865.745386300
1.824768411,1866.336834188
1.826319161,1865.909797943
1.833500267,1866.609163570
1.834657095,1866.171557805
1.848543243,1866.131161306
1.851067004,1866.688328805
1.853118790,1866.277259234
1.856687638,1866.862482369
1.858279822,1866.440102715
1.864956578,1867.118704180
1.866154217,1866.687040387
1.886575396,1866.852764012
1.890578936,1867.463646443
1.892079638,1867.032142048
1.901156984,1867.780642750
1.902234261,1867.350465246
1.909118118,1867.098544753
1.911152286,1867.628854691
1.913865288,1867.249556010
1.916553572,1867.796138289
1.918541664,1867.396521506
1.922468452,1867.978984600
1.924007090,1867.567377333
1.932496344,1868.289091283
1.933608679,1867.866685384
1.941768974,1867.661928886
1.943865953,1868.186134210
1.946507923,1867.811091269
1.949299587,1868.354220981
1.951248191,1867.959274884
1.955417225,1868.543088135
1.956921915,1868.136072707
1.967085564,1868.902818804
1.968134590,1868.484574434
1.973655317,1868.203916432
1.975741825,1868.720409471
1.978445692,1868.353534082
1.981224003,1868.889638857
1.983203345,1868.501600811
1.987341111,1869.078232811
1.988865358,1868.677410793
1.998757641,1869.430111793
1.999824240,1869.017371830
2.005670070,1868.751157132
2.007768716,1869.263048853
2.010490461,1868.901741168
2.013293018,1869.433168820
2.015279860,1869.050515082
2.019477583,1869.623287867
2.021003774,1869.227895418
2.031351860,1869.987785432
2.032408038,1869.580641175
2.037799991,1869.305903794
2.039934597,1869.812715760
2.042632280,1869.456147626
2.045497426,1869.983565854
2.047469779,1869.606077451
2.051823369,1870.177363694
2.053334439,1869.787242268
2.065071772,1870.582946016
2.066086083,1870.180513176
2.070452574,1869.880011641
2.072698538,1870.383563924
2.075256595,1870.028718157
2.078314457,1870.555573520
2.080208421,1870.181567936
2.085077115,1870.762166361
2.086520479,1870.375939749
2.106333509,1871.410774598
2.107159430,1871.010197937
