time_s,pc_Pa
0.697510091,2703624.636628178
0.699122376,2707344.129732315
0.701057449,2703790.494623128
0.703007754,2707528.707271653
0.704585861,2703956.968527575
0.707050207,2707720.502118225
0.708374621,2704136.479290511
0.711811114,2707946.657154988
0.712924881,2704352.845867686
0.719453401,2708311.365849602
0.720340676,2704707.791566891
0.734320442,2701736.631935421
0.736032099,2705464.121746889
0.737863389,2701908.266319007
0.739960867,2705648.428833581
0.741468950,2702080.049909200
0.744186322,2705847.493694650
0.745453923,2702269.384867333
0.749485679,2706097.942130372
0.750542112,2702511.440220598
0.761072254,2706651.229564523
0.761846462,2703053.126577118
0.765925067,2699616.818510108
0.767350522,2703314.309120202
0.769792866,2699800.773349937
0.771501575,2703510.260363696
0.773378592,2699970.424893821
0.775471597,2703697.337430006
0.777009091,2700142.105703794
0.779717868,2703897.608885464
0.781006403,2700331.117441389
0.785010593,2704148.065661700
0.786082822,2700572.149724199
0.796278915,2704684.142856144
0.797068895,2701097.149500833
0.801413196,2697684.042127698
0.802844200,2701370.923019097
0.805335101,2697869.885596974
0.807054086,2701569.390599526
0.808956255,2698040.622942261
0.811065976,2701758.284283482
0.812619139,2698213.368709033
0.815357527,2701960.309058927
0.816656207,2698404.094132870
0.820732089,2702214.129267512
0.821809747,2698648.312534593
0.832629723,2702779.359579236
0.833412525,2699201.941835197
0.837381678,2695779.919610926
0.838854971,2699459.149502957
0.841281266,2695964.561237096
0.843057065,2699656.741468552
0.844925143,2696136.128304385
0.847120811,2699847.530413583
0.848649549,2696311.631463605
0.851543702,2700055.321392303
0.852820371,2696508.268423116
0.857313417,2700327.229770839
0.858364183,2696770.595722588
0.875268362,2701180.318129912
0.875946093,2697609.326431025
0.878124887,2694112.998226684
0.880071847,2697802.861347375
0.881798978,2694285.735394507
0.884263160,2697999.171874141
0.885690363,2694468.718178960
0.889117558,2698227.134154656
0.890305922,2694686.198903500
0.896690923,2698583.960989780
0.897633346,2695033.052987642
0.914881011,2692262.293226984
0.917036642,2695960.170794249
0.918635616,2692441.935389511
0.921460424,2696165.076106864
0.922789026,2692638.100969306
0.927081691,2696427.366628337
0.928175227,2692891.988676030
0.941297444,2697098.857762856
0.942052693,2693550.528660313
0.945104823,2690114.172989945
0.946765928,2693771.188459851
0.948923877,2690293.449806790
0.950959958,2693966.997823404
0.952672743,2690469.030856414
0.955286776,2694168.826318662
0.956699475,2690657.685374801
0.960458042,2694410.681656220
0.961626281,2690888.899756992
0.969715405,2694845.919888383
0.970607357,2691312.952467330
0.977954444,2688089.048182649
0.979467145,2691730.793081198
0.982022900,2688280.845091301
0.983863195,2691935.777945018
0.985797769,2688457.442961831
0.988098647,2692133.077144267
0.989666810,2688638.255703129
0.992759698,2692350.275893853
0.994057691,2688843.768468145
0.999130734,2692648.017899673
1.000181427,2689131.327063418
1.029259421,2692697.457955670
1.029961107,2689172.413461349
1.032181375,2685722.335774133
1.034260080,2689372.391576536
1.036007954,2685900.297137921
1.038696874,2689578.593182623
1.040130530,2686092.265924357
1.044061366,2689828.107893203
1.045239271,2686330.821828199
